,coupon,yield,maturityDate,ISIN,issuePrice,issueDate,2/9,2/8,2/7,2/6,2/3,2/2,2/1,1/31,1/30,1/27,1/26,1/25,1/24,1/23,1/20,1/19,1/18,1/17,1/16,1/13,1/12,1/11,1/10
CAN 1.50 Jun 23,1.5,4.55,2023-06-01,CA135087A610,97.98,2012-07-30,99.11,99.09,99.07,99.06,99.05,99.08,99.03,99.01,99.0,99.0,99.0,99.0,98.98,98.96,98.95,98.95,98.94,98.92,98.92,98.91,98.91,98.88,98.86
CAN 2.50 Jun 24,2.5,4.33,2024-06-01,CA135087B451,98.99,2013-07-02,97.77,97.72,97.7,97.74,97.88,98.03,97.91,97.91,97.89,97.96,98.07,98.07,98.01,98.02,98.05,98.11,98.17,98.07,98.08,98.04,97.97,97.92,97.83
CAN 2.25 Jun 25,2.25,3.68,2025-06-01,CA135087D507,98.85,2014-06-30,96.98,96.88,96.86,96.94,97.22,97.51,97.24,97.23,97.23,97.35,97.56,97.54,97.39,97.43,97.51,97.68,97.7,97.45,97.45,97.26,97.05,96.92,96.74
CAN 1.75 Mar 23,1.75,,2023-03-01,CA135087H490,99.56,2017-10-06,99.89,99.86,99.86,99.85,99.84,99.84,99.82,99.8,99.78,99.79,99.78,99.77,99.76,99.75,99.74,99.72,99.72,99.7,99.71,99.7,99.68,99.67,99.64
CAN 2.25 Mar 24,2.25,4.49,2024-03-01,CA135087J546,98.99,2018-10-05,97.77,97.74,97.7,97.72,97.79,97.9,97.82,97.81,97.78,97.84,97.92,97.92,97.87,97.86,97.87,97.92,97.95,97.87,97.93,97.91,97.87,97.85,97.77
CAN 1.50 Sep 24,1.5,4.18,2024-09-01,CA135087J967,99.45,2019-04-05,96.1,96.03,96.0,96.06,96.25,96.42,96.29,96.23,96.24,96.29,96.48,96.47,96.39,96.4,96.4,96.5,96.58,96.45,96.48,96.4,96.29,96.17,96.08
CAN 1.25 Mar 25,1.25,3.89,2025-03-01,CA135087K528,99.62,2019-10-11,94.99,94.88,94.86,94.94,95.18,95.43,95.2,95.2,95.19,95.3,95.5,95.47,95.34,95.38,95.44,95.59,95.61,95.42,95.38,95.22,95.05,94.91,
CAN 0.50 Sep 25,0.5,3.7,2025-09-01,CA135087K940,99.63,2020-04-03,92.43,92.31,92.27,92.33,92.62,92.94,92.64,92.56,92.61,92.72,93.0,92.97,92.81,92.82,92.87,93.03,93.03,92.75,92.74,92.56,92.35,92.11,91.95
CAN 0.25 Apr 24,0.25,4.45,2024-04-01,CA135087L690,99.86,2020-10-16,95.47,95.42,95.39,95.41,95.49,95.61,95.48,95.48,95.45,95.51,95.6,95.59,95.52,95.52,95.49,95.54,95.55,95.44,95.49,95.46,95.47,95.39,95.34
CAN 0.25 Feb 23,0.25,,2023-02-01,CA135087L773,99.94,2020-10-26,,,,,,,,,,99.99,99.98,99.94,99.93,99.92,99.91,99.9,99.87,99.86,99.84,99.83,99.82,99.79,99.78
CAN 0.25 May 23,0.25,4.51,2023-05-01,CA135087L856,100.05,2021-02-05,99.12,99.08,99.06,99.05,99.04,99.05,99.0,98.99,98.97,98.97,98.96,98.94,98.92,98.91,98.89,98.88,98.86,98.85,98.84,98.83,98.82,98.78,98.76
CAN 0.25 Aug 23,0.25,4.56,2023-08-01,CA135087M359,99.69,2021-05-14,98.07,98.02,98.0,97.98,97.98,98.02,97.95,97.93,97.92,97.9,97.91,97.9,97.87,97.84,97.83,97.84,97.83,97.8,97.8,97.79,97.78,97.73,97.71
CAN 0.75 Oct 24,0.75,4.15,2024-10-01,CA135087M508,99.97,2021-07-12,94.79,94.71,94.68,94.76,94.94,95.12,94.95,94.95,94.95,95.01,95.15,95.14,95.05,95.06,95.09,95.19,95.25,95.14,95.1,95.01,94.94,94.8,
CAN 0.50 Nov 23,0.5,4.58,2023-11-01,CA135087M763,99.9,2021-08-09,97.2,97.15,97.12,97.12,97.14,97.2,97.11,97.08,97.06,97.07,97.1,97.11,97.06,97.03,97.01,97.05,97.05,97.01,97.02,96.99,97.0,96.94,
CAN 0.75 Feb 24,0.75,4.6,2024-02-01,CA135087M920,99.73,2021-10-22,96.45,96.4,96.37,96.37,96.42,96.51,96.4,96.39,96.38,96.4,96.46,96.47,96.41,96.4,96.38,96.46,96.47,96.44,96.46,96.44,96.44,96.38,96.33
CAN 1.50 Apr 25,1.5,3.87,2025-04-01,CA135087N340,99.74,2022-01-24,95.32,95.22,95.2,95.28,95.53,95.79,95.56,95.55,95.55,95.67,95.87,95.84,95.68,95.72,95.79,95.95,95.96,95.76,95.72,95.55,95.35,95.21,
CAN 1.50 May 24,1.5,4.41,2024-05-01,CA135087N423,99.85,2022-02-22,96.66,96.6,96.58,96.6,96.71,96.84,96.73,96.73,96.69,96.76,96.86,96.85,96.79,96.79,96.82,96.89,96.92,96.8,96.85,96.79,96.71,96.68,96.57
CAN 2.75 Aug 24,2.75,4.27,2024-08-01,CA135087N910,99.99,2022-05-24,97.93,97.87,97.84,97.9,98.06,98.24,98.11,98.11,98.13,98.18,98.31,98.32,98.24,98.26,98.3,98.39,98.44,98.34,98.34,98.27,98.19,98.09,98.0
CAN 3.00 Oct 25,3.0,3.65,2025-10-01,CA135087P246,99.33,2022-07-25,98.51,98.39,98.36,98.41,98.71,99.06,98.77,98.78,98.8,98.91,99.16,99.14,98.98,99.02,99.11,99.29,99.26,99.02,98.96,98.76,98.57,98.37,98.22
CAN 3.00 Nov 24,3.0,4.1,2024-11-01,CA135087P402,99.63,2022-08-15,98.27,98.2,98.17,98.25,98.46,98.68,98.52,98.52,98.54,98.61,98.77,98.78,98.69,98.71,98.75,98.86,98.92,98.82,98.77,98.68,98.58,98.44,98.34
CAN 3.75 Feb 25,3.75,3.95,2025-02-01,CA135087P659,99.68,2022-11-02,99.7,99.62,99.6,99.67,99.92,100.2,99.98,99.96,100.03,100.12,100.28,100.28,100.18,100.24,100.3,100.46,100.53,100.38,100.36,100.19,100.04,99.85,99.72
CAN 8.00 Jun 23,8.0,4.51,2023-06-01,CA135087UT96,98.0,1992-08-17,101.01,101.04,101.04,101.05,101.06,101.1,101.1,101.11,101.11,101.13,101.14,101.2,101.19,101.19,101.2,101.21,101.27,101.26,101.28,101.28,101.3,101.32,101.32
CAN 9.00 Jun 25,9.0,3.65,2025-06-01,CA135087VH40,98.21,1994-08-02,111.7,111.64,111.63,111.73,112.05,112.39,112.14,112.14,112.21,112.33,112.55,112.59,112.46,112.52,112.62,112.8,112.89,112.71,112.66,112.47,112.32,112.17,112.04
CAN 1.50 Jun 26,1.5,3.37,2026-06-01,CA135087E679,97.86,2015-07-21,94.45,94.24,94.26,94.38,94.68,95.07,94.72,94.7,94.7,94.8,95.09,95.1,94.96,94.95,95.02,95.34,95.27,94.94,94.84,94.7,94.47,94.1,93.83
CAN 1.00 Jun 27,1.0,3.14,2027-06-01,CA135087F825,97.99,2016-08-03,91.78,91.48,91.46,91.65,92.08,92.53,92.09,91.99,91.97,92.12,92.5,92.54,92.4,92.36,92.35,92.85,92.87,92.38,92.27,92.2,91.9,91.39,91.08
CAN 2.00 Jun 28,2.0,3.07,2028-06-01,CA135087H235,99.27,2017-08-01,95.22,94.83,94.83,95.05,95.57,96.1,95.6,95.5,95.45,95.62,96.04,96.12,95.95,95.94,96.04,96.59,96.61,96.02,95.91,95.83,95.4,94.88,
CAN 2.25 Jun 29,2.25,3.04,2029-06-01,CA135087J397,99.95,2018-07-27,95.96,95.5,95.49,95.76,96.35,97.01,96.42,96.26,96.17,96.39,96.92,97.04,96.82,96.8,96.87,97.57,97.59,96.9,96.81,96.74,96.27,95.6,94.99
CAN 0.50 Dec 30,0.5,3.06,2030-12-01,CA135087L443,98.96,2020-10-05,82.92,82.44,82.42,82.76,83.29,84.12,83.45,83.29,83.3,83.43,83.91,84.0,83.79,83.65,83.74,84.44,84.42,83.68,83.54,83.47,82.96,82.36,81.71
CAN 0.25 Mar 26,0.25,3.53,2026-03-01,CA135087L518,99.03,2020-10-09,90.81,90.66,90.64,90.72,91.02,91.39,91.06,91.07,91.05,91.17,91.45,91.41,91.21,91.23,91.32,91.51,91.43,91.19,91.08,90.91,90.7,90.39,
CAN 1.00 Sep 26,1.0,3.38,2026-09-01,CA135087L930,99.66,2021-04-16,92.41,92.15,92.15,92.31,92.68,93.05,92.68,92.69,92.63,92.77,93.04,93.05,92.91,92.9,92.95,93.29,93.24,92.84,92.72,92.62,92.39,91.97,
CAN 1.50 Jun 31,1.5,3.06,2031-06-01,CA135087M276,98.85,2021-04-26,89.14,88.67,88.64,89.02,89.6,90.49,89.77,89.64,89.62,89.79,90.23,90.35,90.14,90.0,90.08,90.86,90.85,90.06,89.89,89.85,89.28,88.65,
CAN 1.25 Mar 27,1.25,3.28,2027-03-01,CA135087M847,99.66,2021-10-15,92.7,92.42,92.42,92.59,93.01,93.43,93.02,93.03,93.01,93.14,93.46,93.5,93.35,93.33,93.39,93.78,93.73,93.25,93.14,93.04,92.71,92.3,
CAN 1.50 Dec 31,1.5,3.07,2031-12-01,CA135087N266,97.91,2021-10-25,88.55,88.04,88.01,88.38,89.0,89.87,89.17,89.05,89.02,89.2,89.65,89.78,89.55,89.42,89.51,90.32,90.32,89.52,89.37,89.32,88.72,88.07,
CAN 2.00 Jun 32,2.0,3.07,2032-06-01,CA135087N597,98.29,2022-03-16,92.03,91.47,91.44,91.83,92.5,93.4,92.68,92.52,92.5,92.68,93.16,93.3,93.08,92.96,93.07,93.91,93.94,93.08,92.93,92.9,92.26,91.56,
CAN 2.25 Dec 29,2.25,3.05,2029-12-01,CA135087N670,99.58,2022-03-29,95.63,95.14,95.15,95.41,96.06,96.75,96.15,96.04,95.95,96.18,96.72,96.83,96.66,96.63,96.78,97.47,97.48,96.81,96.66,96.58,96.12,95.4,94.87
CAN 2.75 Sep 27,2.75,3.2,2027-09-01,CA135087N837,99.3,2022-05-13,98.42,98.1,98.1,98.3,98.78,99.25,98.82,98.74,98.73,98.86,99.24,99.29,99.15,99.14,99.24,99.71,99.71,99.22,99.1,98.99,98.64,98.16,97.78
CAN 2.50 Dec 32,2.5,3.07,2032-12-01,CA135087P329,97.96,2022-08-08,95.87,95.22,95.22,95.61,96.32,97.24,96.51,96.37,96.35,96.55,97.09,97.22,96.95,96.86,97.0,97.86,97.91,97.02,96.86,96.82,96.15,95.43,94.6
CAN 3.50 Mar 28,3.5,3.15,2028-03-01,CA135087P576,99.35,2022-10-21,101.97,101.6,101.57,101.79,102.32,102.87,102.39,102.28,102.22,102.4,102.82,102.92,102.77,102.73,102.83,103.38,103.4,102.84,102.73,102.64,102.21,101.65,
CAN 3.24 Aug 27,3.24,3.17,2027-08-24,CA135087P733,100.0,2022-12-02,100.6,100.33,100.29,100.51,100.88,101.4,100.98,100.91,100.89,101.0,101.26,101.34,101.22,101.17,101.22,101.72,101.72,101.23,101.09,100.99,100.66,100.14,99.77
CAN 3.00 Apr 26,3.0,3.48,2026-04-01,CA135087P816,99.47,2023-01-20,98.64,98.6,,,,,,,,,,,,,,,,,,,,,
CAN 8.00 Jun 27,8.0,3.13,2027-06-01,CA135087VW17,97.88,1996-05-01,119.66,119.36,119.36,119.59,120.11,120.64,120.19,120.14,120.17,120.33,120.74,120.83,120.69,120.67,120.77,121.27,121.33,120.82,120.67,120.62,120.3,119.8,119.41
CAN 5.75 Jun 29,5.75,3.06,2029-06-01,CA135087WL43,99.81,1998-02-02,115.7,115.22,115.22,115.51,116.2,116.96,116.33,116.22,116.19,116.39,116.92,117.06,116.86,116.84,116.98,117.71,117.75,117.08,116.94,116.89,116.35,115.67,115.12
